Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Novartis,"Basel, Basel-Stadt, Switzerland",Active,For Profit,56,13,11,21,1,1,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Pharmaceutical",1,IPO,2/14/2018,6500000,USD,6500000,Grant,,,,,6500000,USD,6500000,19,703.892,"526,561.33",831,3681848,USD,3681848,Bill & Melinda Gates Foundation
MobiKwik,"Gurgaon, Haryana, India",Active,For Profit,,,,,10,27,"Financial Services, Lending and Investments, Mobile, Payments, Software","Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management",16,Late Stage Venture,6/9/2021,1490000000,INR,20415001,Series G,Series G,1490000000,INR,20415001,165518505,USD,165518505,,"2,075,004","2,188,175.83",560,,,,"Sequoia Capital India, NET1 UEPS Technologies Inc., American Express Ventures, Trifecta Capital Advisors, MediaTek"
Last9,"Santa Clara, California, United States",Active,For Profit,,,,,3,3,"Science and Engineering, Software","Developer Platform, Developer Tools, Software Engineering",2,Early Stage Venture,4/12/2022,11000000,USD,11000000,Series A,Series A,11000000,USD,11000000,13000000,USD,13000000,,7.807,"2,329.33",223,,,,"Better Capital, Sequoia Capital India, Surge"
OPEN,"Bangalore, Karnataka, India",Active,,,,,,9,17,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software","Banking, Billing, Finance, Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments, SaaS",7,Late Stage Venture,9/9/2021,100000000,USD,100000000,Series C,Series C,100000000,USD,100000000,140808551,USD,140808551,,5.729,,0,,,,"AngelList, Google, Tiger Global Management, Temasek Holdings, 3one4 Capital"
Rec Room,"Seattle, Washington, United States",Active,For Profit,,,,,4,11,"Gaming, Hardware, Software","Augmented Reality, Gaming, Software, Virtual Reality",8,,12/20/2021,145000000,USD,145000000,Venture - Series Unknown,Venture - Series Unknown,145000000,USD,145000000,294000000,USD,294000000,,580.277,"256,211.17",311,,,,"Sequoia Capital, Betaworks, Coatue, Index Ventures, Acequia Capital (AceCap)"
Quiq,"Bozeman, Montana, United States",Active,For Profit,,,,,3,5,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence, Customer Service, Enterprise Software, Messaging, Productivity Tools",3,Late Stage Venture,4/12/2022,25000000,USD,25000000,Series C,Series C,25000000,USD,25000000,44000000,USD,44000000,1,11.94,"10,463.67",223,,,,"Venrock, Baird Capital, Foundry Group, NEXT Frontier Capital, Teamworthy Ventures"
Oculus,"Menlo Park, California, United States",Active,For Profit,,,,,3,10,"Consumer Electronics, Gaming, Hardware, Information Technology, Software","Augmented Reality, Consumer Electronics, Hardware, Video Games, Virtual Reality, Virtualization",5,M&A,8/13/2019,2437429,USD,2437429,Equity Crowdfunding,Equity Crowdfunding,2437429,USD,2437429,98387429,USD,98387429,27,"26,454,823","27,678,594.83",634,5845420,USD,5845420,"Andreessen Horowitz, Spark Capital, Matrix Partners, Founders Fund, Formation 8"
Multiplier,"Singapore, Central Region, Singapore",Active,For Profit,,,,,3,12,"Administrative Services, Professional Services, Software","Compliance, Employment, Human Resources, SaaS, Software",3,Early Stage Venture,3/8/2022,60000000,USD,60000000,Series B,Series B,60000000,USD,60000000,77200000,USD,77200000,,44.446,"26,716.67",154,,,,"Tiger Global Management, Sequoia Capital India, Surge, Picus Capital, Golden Gate"
LanzaTech,"Skokie, Illinois, United States",Active,For Profit,,,,,6,12,"Energy, Natural Resources, Sustainability","Clean Energy, CleanTech, Fuel, Natural Resources, Renewable Energy, Sustainability",8,,12/9/2021,30000000,USD,30000000,Undisclosed,Undisclosed,30000000,USD,30000000,310400000,USD,310400000,,13.33,"8,650.33",631,,,,"CICC, Qiming Venture Partners, Khosla Ventures, Novo Holdings, Western Technology Investment"
Lightricks,"Jerusalem, Yerushalayim, Israel",Active,For Profit,,,,,4,17,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Consumer Software, Content, Mobile Apps, Photo Editing, Social Network",6,,2/23/2022,,,,Venture - Series Unknown,Venture - Series Unknown,,,,335000000,USD,335000000,,"1,200,280","328,194.5",1.045,,,,"Goldman Sachs, Insight Partners, Goldman Sachs Asset Management, Viola Ventures, Hanaco Venture Capital"
LaunchDarkly,"Oakland, California, United States",Active,For Profit,,,,,5,13,"Data and Analytics, Software","Developer Tools, Software, Test and Measurement",8,Late Stage Venture,8/10/2021,200000000,USD,200000000,Series D,Series D,200000000,USD,200000000,330300000,USD,330300000,25,"11,318,009","2,207,977",725,,,,"Insight Partners, Redpoint, Alchemist Accelerator, Vertex Ventures, Bessemer Venture Partners"
Nazara Technologies,"Mumbai, Maharashtra, India",Active,For Profit,11,10,,3,6,7,"Apps, Gaming, Mobile, Software","Gaming, Mobile, Mobile Apps, Software, Video Games",8,IPO,2/9/2021,13700000,USD,13700000,Private Equity,Private Equity,13700000,USD,13700000,146371285,USD,146371285,,11.634,"17,922.33",98,,,,"Sequoia Capital, Westbridge Capital, IIFL Asset Management, ESL Gaming, Rajeev Chitrabhanu (MAGNETIC)"
Infor,"New York, New York, United States",Active,For Profit,2,1,1,1,2,4,"Apps, Information Technology, Sales and Marketing, Software","Apps, CRM, Enterprise Resource Planning (ERP), SaaS, Software",4,M&A,1/16/2019,1500000000,USD,1500000000,Private Equity,Private Equity,1500000000,USD,1500000000,4000000000,USD,4000000000,19,"4,790,000","4,557,238",968,,,,"Summit Partners, Salesforce Ventures, Golden Gate Capital, Koch Equity Development"
Pindrop,"Atlanta, Georgia, United States",Active,For Profit,,,,,4,25,"Artificial Intelligence, Data and Analytics, Financial Services, Media and Entertainment, Music and Audio, Payments, Privacy and Security, Software","Audio, Fraud Detection, Natural Language Processing, Security, Software, Speech Recognition",6,,3/17/2021,6800000,USD,6800000,Undisclosed,Undisclosed,6800000,USD,6800000,219599996,USD,219599996,11,23.918,"14,383.5",12,,,,"Andreessen Horowitz, Goldman Sachs, GV, Redpoint, Vitruvian Partners"
Perforce Software,"Minneapolis, Minnesota, United States",Active,For Profit,,,,,2,2,"Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Analytics, Information Technology, Robotics, SaaS, Software",2,M&A,7/8/2020,30000000,USD,30000000,Private Equity,Private Equity,30000000,USD,30000000,30000000,USD,30000000,23,784.876,"689,892.33",417,,,,"Francisco Partners, Clearlake Capital Group"
Optimism,"New York, New York, United States",Active,For Profit,,,,,2,3,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Ethereum, FinTech",3,Early Stage Venture,3/17/2022,150000000,USD,150000000,Series B,Series B,150000000,USD,150000000,178500000,USD,178500000,,94.251,"152,909.83",375,,,,"Andreessen Horowitz, Paradigm, IDEO CoLab Ventures"
Montonio,"Tallinn, Harjumaa, Estonia",Active,For Profit,,,,,3,16,"Commerce and Shopping, Financial Services, Payments","E-Commerce, Finance, FinTech, Lending, Payments",6,Early Stage Venture,4/12/2022,11000000,EUR,11908731,Series A,Series A,11000000,EUR,11908731,15601034,USD,15601034,,363.852,"294,721.67",128,,,,"Startup Wise Guys, Index Ventures, ff Venture Capital, Superangel, Tera Ventures"
Leapsome,"Berlin, Berlin, Germany",Active,For Profit,,,,,1,3,"Administrative Services, Information Technology, Internet Services, Software","Human Resources, Information Technology, Internet, SaaS, Software",1,Early Stage Venture,3/24/2022,60000000,USD,60000000,Series A,Series A,60000000,USD,60000000,60000000,USD,60000000,2,322.055,254.539,623,,,,"Insight Partners, Creandum, Visionaries Club"
Pantheon,"San Francisco, California, United States",Active,For Profit,,,,,4,16,"Hardware, Internet Services, Other, Software","Cloud Infrastructure, Enterprise Software, Infrastructure, SaaS, Web Development",7,Late Stage Venture,7/13/2021,100000000,USD,100000000,Series E,Series E,100000000,USD,100000000,200000000,USD,200000000,28,457.646,"507,356.67",519,942401,USD,942401,"SoftBank Vision Fund, Founder Collective, Scale Venture Partners, Foundry Group, Floodgate"
Jumio,"Palo Alto, California, United States",Active,For Profit,,,,,4,8,"Artificial Intelligence, Biotechnology, Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence, Biometrics, Facial Recognition, Fraud Detection, Identity Management, Machine Learning",8,M&A,3/23/2021,150000000,USD,150000000,Private Equity,Private Equity,150000000,USD,150000000,205413881,USD,205413881,23,564.217,"172,292.67",194,,,,"Andreessen Horowitz, Citi Ventures, Centana Growth Partners, Great Hill Partners, Millennium Technology Value Partners"
Octane,"New York, New York, United States",Active,For Profit,,,,,5,15,"Community and Lifestyle, Financial Services, Lending and Investments","Credit, Financial Services, FinTech, Lending, Lifestyle",12,Late Stage Venture,8/5/2021,52000000,USD,52000000,Series D,Series D,52000000,USD,52000000,401015898,USD,401015898,1,155.2,61.052,676,,,,"Gaingels, FundersClub, FinTech Collective, Contour Venture Partners, Third Prime"
SafetyCulture,"Townsville, Queensland, Australia",Active,For Profit,3,3,,1,7,14,"Apps, Government and Military, Software","Apps, Public Safety, SaaS, Software",9,Late Stage Venture,5/3/2021,95000000,AUD,73709006,Series D,Series D,95000000,AUD,73709006,223152971,USD,223152971,1,547.511,"568,834.17",323,,,,"Insight Partners, Tiger Global Management, Index Ventures, Blackbird Ventures, Morpheus Ventures"
Mina,"San Francisco, California, United States",Active,,1,,,,3,17,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency",6,,3/17/2022,92000000,USD,92000000,Initial Coin Offering,Initial Coin Offering,92000000,USD,92000000,136650000,USD,136650000,,94.786,"514,350.83",135,,,,"Amber Group, General Catalyst, Coinbase Ventures, Paradigm, FTX Ventures"
Morgan Stanley,"New York, New York, United States",Active,For Profit,209,70,30,92,,,Financial Services,"Asset Management, Finance, Financial Services, Lending",,IPO,,,,,,,,,,,,,24,"5,787,940","6,374,667.33",367,32727,USD,32727,
Prime Trust,"Las Vegas, Nevada, United States",Active,For Profit,,,,,2,14,"Financial Services, Lending and Investments, Other, Payments, Software","Banking, Blockchain, Crowdfunding, Cryptocurrency, Financial Services, FinTech",5,Early Stage Venture,7/28/2021,64000000,USD,64000000,Series A,Series A,64000000,USD,64000000,69000000,USD,69000000,5,73.888,"63,810.17",1.89,,,,"Kraken, Commerce Ventures, Ayon Capital, Samsung NEXT, Mercato Partners"
Guild Education,"Denver, Colorado, United States",Active,For Profit,,,,,5,25,"Administrative Services, Education, Health Care, Professional Services, Software","Career Planning, EdTech, Education, Employee Benefits",7,Late Stage Venture,6/2/2021,150000000,USD,150000000,Series E,Series E,150000000,USD,150000000,378500000,USD,378500000,,587.014,"391,973.83",404,,,,"General Catalyst, Redpoint, Bessemer Venture Partners, Rethink Education, Emerson Collective"
KnowBe4,"Clearwater, Florida, United States",Active,For Profit,,,,,3,5,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Network Security, Security, Software",6,IPO,1/1/2020,,,,Venture - Series Unknown,Venture - Series Unknown,,,,393540519,USD,393540519,24,"2,119,580","1,944,569",793,13857849,USD,13857849,"Elephant, Kohlberg Kravis Roberts, TenEleven Ventures, GS Growth, March Capital"
Invesco,"Atlanta, Georgia, United States",Active,For Profit,95,23,2,35,,,"Financial Services, Lending and Investments","Finance, Financial Exchanges, Financial Services, Venture Capital",1,IPO,4/26/2018,80000000,USD,80000000,Post-IPO Debt,,,,,80000000,USD,80000000,8,"2,157,533","1,590,984.5",329,,,,
Houzz,"Palo Alto, California, United States",Active,For Profit,,,,,5,22,"Consumer Electronics, Design, Real Estate","Architecture, Home Improvement, Home Renovation, Interior Design, Smart Home",8,,1/3/2021,,,,Venture - Series Unknown,Venture - Series Unknown,,,,613600000,USD,613600000,2,"18,529,693","23,362,404.33",528,4851192,USD,4851192,"Sequoia Capital, T. Rowe Price, New Enterprise Associates, GGV Capital, Kleiner Perkins"
Natera,"San Carlos, California, United States",Active,For Profit,,,,,6,14,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Health Diagnostics, Medical",10,IPO,3/16/2022,5000000,USD,5000000,Post-IPO Equity,Post-IPO Equity,5000000,USD,5000000,409100000,USD,409100000,,"1,221,077","478,647.17",877,,,,"Sequoia Capital, National Institutes of Health, Founders Fund, RA Capital Management, Lightspeed Venture Partners"
Netskope,"Santa Clara, California, United States",Active,For Profit,,,,,6,18,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Enterprise Software, Software",13,,7/9/2021,300000000,USD,300000000,Venture - Series Unknown,Venture - Series Unknown,300000000,USD,300000000,1041600000,USD,1041600000,41,337.588,"225,679.5",717,64839904,USD,64839904,"Accel, Lightspeed Venture Partners, ICONIQ Growth, Dell Technologies Capital, PSP Investments"
Lucid,"New Orleans, Louisiana, United States",Active,For Profit,,,,,2,6,"Advertising, Data and Analytics, Sales and Marketing, Software","Advertising, Analytics, Enterprise Software",6,M&A,1/1/2018,,,,Venture - Series Unknown,Venture - Series Unknown,,,,64574451,USD,64574451,,242.434,"64,971.33",61,6284259,USD,6284259,"Revolution, HarbourVest Partners, Sopris Capital Associates, Revolutionâ€™s Rise of the Rest Seed Fund, North Bridge Venture Partners & Growth Equity"
Hydrow,"Cambridge, Massachusetts, United States",Active,For Profit,,,,,2,22,"Health Care, Sports","Fitness, Wellness",8,Late Stage Venture,3/17/2022,55000000,USD,55000000,Series D,Series D,55000000,USD,55000000,255799142,USD,255799142,,403.102,"1,409,509.5",195,,,,"Alumni Ventures, Raptor Group, L Catterton, Winklevoss Capital, Activant Capital"
OpenSea,"New York, New York, United States",Active,For Profit,,,,,6,49,Other,Blockchain,9,Late Stage Venture,1/5/2022,300000000,USD,300000000,Series C,Series C,300000000,USD,300000000,427220000,USD,427220000,1,"79,544,954","83,596,241.5",1.579,,,,"Animoca Brands, Republic, Blockchain Capital, Andreessen Horowitz, Y Combinator"
Rent the Runway,"New York, New York, United States",Active,For Profit,,,,,11,19,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","Consumer Goods, E-Commerce, Fashion, Retail",13,IPO,6/17/2020,5000000,USD,5000000,Venture - Series Unknown,Venture - Series Unknown,5000000,USD,5000000,526149985,USD,526149985,1,"2,096,299","1,582,695.5",629,,,,"Temasek Holdings, Fidelity Management and Research Company, Franklin Templeton Investments, Highland Capital Partners, Kleiner Perkins"
Near,"Singapore, Central Region, Singapore",Active,For Profit,,,,,2,8,"Artificial Intelligence, Data and Analytics, Internet Services, Navigation and Mapping, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence, Location Based Services, Marketing, SaaS",5,Late Stage Venture,7/16/2019,100000000,USD,100000000,Series D,Series D,100000000,USD,100000000,134000000,USD,134000000,1,7.755,"9,253.33",120,,,,"OurCrowd, Sequoia Capital India, Global Brain Corporation, Telstra Ventures, Canaan Partners"
OTA Insight,"London, England, United Kingdom",Active,For Profit,,,,,4,7,"Data and Analytics, Information Technology, Software, Travel and Tourism","Analytics, Business Intelligence, Hospitality, Hotel, Information Technology, SaaS, Software",6,Early Stage Venture,11/18/2021,80000000,USD,80000000,Series B,Series B,80000000,USD,80000000,100000000,USD,100000000,,908.556,"621,021.17",466,,,,"F-Prime Capital, Venrex, Eight Roads Ventures, Spectrum Equity, Ricardo Schaefer"
HSBC,"London, England, United Kingdom",Active,For Profit,149,72,3,28,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services",,IPO,,,,,,,,,,,,,35,"3,801,410","4,100,933.67",615,4735391,USD,4735391,
Sales Impact Academy,"Seattle, Washington, United States",Active,For Profit,,,,,3,5,,,5,Seed,3/30/2022,16000000,USD,16000000,Convertible Note,Seed,3000000,USD,3000000,26391950,USD,26391950,,4.436,"5,093.5",20,,,,"Massachusetts Institute of Technology, Emerge Education, Stage 2 Capital, HubSpot Ventures, Round2 Capital Partners"
Nreal,"Beijing, Beijing, China",Active,For Profit,,,,,10,16,"Consumer Electronics, Hardware, Information Technology, Software","Augmented Reality, Information Technology, Virtual Reality, Wearables",7,Late Stage Venture,3/30/2022,60000000,USD,60000000,Series C,Series C,60000000,USD,60000000,231000000,USD,231000000,4,93.025,"44,866.17",177,,,,"CICC, iQiyi, Alibaba Group, Shunwei Capital, Sequoia Capital China"
OpenWeb,"New York, New York, United States",Active,For Profit,,,,,3,20,"Artificial Intelligence, Community and Lifestyle, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Software","Internet, Machine Learning, Online Forums, Publishing, Social",5,Late Stage Venture,11/9/2021,150000000,USD,150000000,Series E,Series E,150000000,USD,150000000,223000000,USD,223000000,3,689.072,"142,586.67",121,,,,"Insight Partners, AltaIR Capital, Samsung NEXT, EntrÃ©e Capital, The New York Times"
